"sex","score","books","place_of_birth","good_at_maths"
"Male",62,"26-100","In UK","Disagree"
"Male",54,"0-10","In UK","Disagree"
"Male",72,"101-200","In UK","Agree"
"Male",48,"11-25","In UK","Agree"
"Male",65,"26-100","Not in UK","Agree"
"Male",56,"11-25","In UK","Agree"
"Female",45,"More than 200","In UK","Agree"
"Male",45,"0-10","In UK","Agree"
"Female",48,"26-100","In UK","Agree"
"Female",57,"26-100","In UK","Agree"
"Male",70,"11-25","In UK","Disagree"
"Female",70,"11-25","In UK","Disagree"
"Male",17,"0-10","In UK","Disagree"
"Female",33,"11-25","In UK","Disagree"
"Male",58,"26-100","In UK","Disagree"
"Female",57,"0-10","In UK","Agree"
"Female",36,"0-10","In UK","Disagree"
"Male",9,"26-100","In UK","Disagree"
"Female",4,"26-100","In UK","Disagree"
"Male",20,"0-10","In UK","Agree"
"Female",55,"101-200","In UK","Agree"
"Female",30,"26-100","Not in UK","Agree"
"Female",11,"11-25","In UK","Agree"
"Male",50,"26-100","In UK","Agree"
"Male",38,"11-25","Not in UK","Agree"
"Male",71,"26-100","In UK","Agree"
"Male",56,"0-10","In UK","Disagree"
"Male",52,"More than 200","In UK","Disagree"
"Male",8,"11-25","Not in UK","Agree"
"Male",76,"26-100","Not in UK","Agree"
"Male",48,"26-100","In UK","Agree"
"Female",62,"11-25","In UK","Agree"
"Female",32,"101-200","Not in UK","Disagree"
"Female",52,"26-100","In UK","Disagree"
"Male",56,"11-25","In UK","Agree"
"Male",67,"11-25","In UK","Agree"
"Male",75,"11-25","Not in UK","Agree"
"Female",65,"26-100","Not in UK","Agree"
"Female",44,"0-10","In UK","Disagree"
"Male",61,"More than 200","In UK","Agree"
"Female",65,"0-10","In UK","Agree"
"Female",56,"0-10","In UK","Agree"
"Male",62,"26-100","In UK","Agree"
"Male",40,"11-25","In UK","Agree"
"Male",17,"0-10","In UK","Agree"
"Male",37,"11-25","In UK","Agree"
"Female",59,"101-200","In UK","Disagree"
"Male",12,"26-100","In UK","Agree"
"Male",31,"11-25","In UK","Agree"
"Female",29,"11-25","In UK","Agree"
"Male",60,"0-10","Not in UK","Agree"
"Male",35,"11-25","Not in UK","Agree"
"Male",57,"More than 200","In UK","Agree"
"Female",40,"11-25","In UK","Disagree"
"Female",41,"101-200","In UK","Disagree"
"Male",62,"More than 200","In UK","Agree"
"Male",76,"101-200","Not in UK","Agree"
"Female",74,"101-200","In UK","Disagree"
"Male",22,"11-25","In UK","Disagree"
"Female",30,"11-25","In UK","Agree"
"Male",52,"0-10","In UK","Agree"
"Female",33,"0-10","In UK","Agree"
"Female",50,"11-25","In UK","Agree"
"Female",50,"11-25","In UK","Agree"
"Female",54,"11-25","In UK","Agree"
"Female",30,"26-100","In UK","Disagree"
"Female",91,"101-200","In UK","Agree"
"Male",41,"26-100","In UK","Disagree"
"Male",21,"0-10","Not in UK","Agree"
"Female",20,"101-200","In UK","Agree"
"Female",83,"26-100","In UK","Agree"
"Female",22,"26-100","Not in UK","Agree"
"Female",38,"101-200","In UK","Disagree"
"Female",50,"11-25","In UK","Agree"
"Male",38,"26-100","In UK","Disagree"
"Female",43,"101-200","In UK","Agree"
"Female",68,"26-100","In UK","Disagree"
"Male",26,"0-10","Not in UK","Agree"
"Female",35,"11-25","In UK","Agree"
"Male",24,"0-10","In UK","Disagree"
"Male",48,"11-25","In UK","Disagree"
"Female",34,"11-25","In UK","Agree"
"Male",56,"26-100","Not in UK","Agree"
"Male",45,"101-200","Not in UK","Disagree"
"Male",45,"26-100","In UK","Disagree"
"Female",20,"11-25","In UK","Disagree"
"Male",26,"101-200","Not in UK","Agree"
"Male",56,"101-200","In UK","Agree"
"Female",22,"More than 200","In UK","Disagree"
"Male",67,"26-100","In UK","Agree"
"Female",42,"More than 200","In UK","Agree"
"Male",88,"101-200","In UK","Agree"
"Female",69,"101-200","In UK","Disagree"
"Male",86,"26-100","In UK","Agree"
"Female",80,"101-200","In UK","Disagree"
"Male",96,"11-25","Not in UK","Agree"
"Male",57,"0-10","In UK","Disagree"
"Male",72,"More than 200","Not in UK","Agree"
"Male",55,"11-25","In UK","Agree"
"Female",52,"26-100","In UK","Disagree"
"Male",100,"26-100","In UK","Agree"
"Female",100,"26-100","In UK","Agree"
"Male",93,"101-200","In UK","Agree"
"Female",58,"101-200","In UK","Disagree"
"Male",96,"26-100","In UK","Agree"
"Female",96,"More than 200","In UK","Agree"
"Male",71,"101-200","In UK","Agree"
"Female",88,"26-100","In UK","Disagree"
"Female",91,"26-100","In UK","Disagree"
"Male",48,"0-10","In UK","Agree"
"Male",60,"26-100","In UK","Agree"
"Male",66,"101-200","In UK","Disagree"
"Female",62,"26-100","In UK","Disagree"
"Male",80,"More than 200","In UK","Agree"
"Male",83,"More than 200","In UK","Agree"
"Male",93,"More than 200","In UK","Agree"
"Female",74,"101-200","In UK","Disagree"
"Female",67,"26-100","In UK","Disagree"
"Female",71,"101-200","In UK","Disagree"
"Male",38,"11-25","In UK","Disagree"
"Female",64,"11-25","In UK","Disagree"
"Female",68,"26-100","In UK","Agree"
"Male",96,"11-25","In UK","Agree"
"Female",43,"26-100","In UK","Disagree"
"Female",68,"26-100","In UK","Agree"
"Male",72,"26-100","In UK","Agree"
"Female",90,"26-100","In UK","Agree"
"Female",52,"26-100","In UK","Disagree"
"Male",52,"101-200","In UK","Disagree"
"Male",85,"More than 200","In UK","Disagree"
"Male",89,"26-100","In UK","Agree"
"Female",29,"26-100","In UK","Agree"
"Male",38,"More than 200","In UK","Agree"
"Female",85,"101-200","In UK","Agree"
"Female",83,"101-200","In UK","Disagree"
"Female",87,"101-200","In UK","Agree"
"Male",64,"26-100","In UK","Agree"
"Female",31,"0-10","In UK","Agree"
"Male",59,"0-10","Not in UK","Agree"
"Female",16,"26-100","In UK","Agree"
"Male",52,"26-100","In UK","Disagree"
"Female",85,"101-200","In UK","Agree"
"Female",85,"101-200","In UK","Agree"
"Female",83,"More than 200","In UK","Agree"
"Male",62,"More than 200","Not in UK","Disagree"
"Male",81,"26-100","In UK","Agree"
"Female",79,"26-100","In UK","Agree"
"Male",80,"More than 200","In UK","Agree"
"Female",57,"26-100","In UK","Disagree"
"Female",35,"0-10","In UK","Disagree"
"Female",56,"26-100","In UK","Agree"
"Female",41,"26-100","In UK","Disagree"
"Male",38,"101-200","In UK","Disagree"
"Male",60,"26-100","In UK","Disagree"
"Male",100,"26-100","In UK","Agree"
"Female",96,"101-200","In UK","Agree"
"Male",85,"0-10","In UK","Agree"
"Female",42,"0-10","In UK","Disagree"
"Female",86,"101-200","In UK","Agree"
"Female",24,"11-25","In UK","Disagree"
"Male",26,"101-200","In UK","Agree"
"Female",70,"11-25","In UK","Agree"
"Male",28,"More than 200","Not in UK","Disagree"
"Female",66,"101-200","In UK","Disagree"
"Female",93,"More than 200","Not in UK","Agree"
"Male",64,"26-100","In UK","Agree"
"Male",87,"26-100","In UK","Agree"
"Female",96,"More than 200","In UK","Agree"
"Female",81,"More than 200","In UK","Agree"
"Male",25,"More than 200","In UK","Disagree"
"Female",71,"26-100","In UK","Disagree"
"Female",65,"101-200","In UK","Agree"
"Female",68,"More than 200","In UK","Agree"
"Male",72,"More than 200","In UK","Agree"
"Female",57,"101-200","In UK","Disagree"
"Female",65,"101-200","In UK","Agree"
"Female",76,"More than 200","In UK","Agree"
"Male",69,"101-200","In UK","Agree"
"Female",66,"11-25","In UK","Agree"
"Male",64,"101-200","In UK","Agree"
"Male",87,"More than 200","In UK","Agree"
"Male",100,"26-100","In UK","Agree"
"Female",89,"101-200","In UK","Disagree"
"Male",79,"26-100","In UK","Agree"
"Female",25,"11-25","In UK","Disagree"
"Female",62,"101-200","Not in UK","Disagree"
"Female",69,"More than 200","In UK","Disagree"
"Male",64,"26-100","Not in UK","Disagree"
"Male",84,"More than 200","In UK","Agree"
"Male",52,"26-100","In UK","Agree"
"Male",60,"26-100","In UK","Agree"
"Male",79,"26-100","In UK","Agree"
"Male",72,"101-200","In UK","Agree"
"Male",60,"26-100","In UK","Agree"
"Male",96,"26-100","In UK","Agree"
"Female",44,"101-200","In UK","Agree"
"Male",93,"More than 200","In UK","Agree"
"Female",62,"11-25","In UK","Disagree"
"Female",92,"101-200","In UK","Disagree"
"Male",85,"More than 200","In UK","Agree"
"Female",21,"26-100","In UK","Agree"
"Female",72,"101-200","In UK","Disagree"
"Male",57,"26-100","In UK","Agree"
"Female",56,"101-200","In UK","Agree"
"Male",83,"More than 200","In UK","Agree"
"Female",69,"More than 200","In UK","Disagree"
"Male",84,"More than 200","In UK","Agree"
"Male",83,"101-200","In UK","Agree"
"Male",70,"101-200","In UK","Agree"
"Male",63,"26-100","In UK","Agree"
"Male",71,"26-100","Not in UK","Disagree"
"Female",79,"26-100","In UK","Agree"
"Male",92,"26-100","Not in UK","Agree"
"Female",48,"11-25","In UK","Agree"
"Female",48,"11-25","In UK","Agree"
"Female",62,"26-100","In UK","Agree"
"Male",71,"26-100","In UK","Agree"
"Male",46,"More than 200","In UK","Agree"
"Female",64,"More than 200","Not in UK","Disagree"
"Male",52,"More than 200","In UK","Agree"
"Female",57,"26-100","In UK","Disagree"
"Male",70,"11-25","In UK","Agree"
"Male",36,"26-100","In UK","Disagree"
"Male",59,"11-25","In UK","Agree"
"Female",38,"26-100","Not in UK","Disagree"
"Male",44,"101-200","In UK","Agree"
"Male",52,"11-25","In UK","Disagree"
"Female",89,"101-200","Not in UK","Agree"
"Female",52,"101-200","In UK","Agree"
"Male",50,"26-100","In UK","Agree"
"Male",67,"11-25","In UK","Agree"
"Male",85,"26-100","In UK","Agree"
"Male",64,"26-100","In UK","Agree"
"Male",44,"11-25","In UK","Agree"
"Male",78,"101-200","In UK","Agree"
"Male",52,"26-100","In UK","Agree"
"Female",48,"26-100","In UK","Disagree"
"Male",72,"26-100","In UK","Agree"
"Male",17,"26-100","In UK","Agree"
"Male",44,"11-25","In UK","Disagree"
"Female",65,"26-100","In UK","Agree"
"Male",52,"More than 200","In UK","Agree"
"Male",19,"26-100","In UK","Agree"
"Male",88,"11-25","In UK","Agree"
"Male",71,"101-200","In UK","Agree"
"Female",69,"26-100","In UK","Disagree"
"Male",36,"26-100","Not in UK","Agree"
"Female",80,"26-100","Not in UK","Disagree"
"Male",39,"101-200","Not in UK","Agree"
"Male",83,"101-200","In UK","Agree"
"Female",60,"11-25","In UK","Agree"
"Female",76,"More than 200","In UK","Agree"
"Female",66,"101-200","In UK","Agree"
"Female",52,"11-25","In UK","Agree"
"Male",70,"11-25","Not in UK","Agree"
"Female",78,"More than 200","In UK","Agree"
"Male",83,"26-100","Not in UK","Agree"
"Female",79,"11-25","In UK","Agree"
"Female",58,"26-100","In UK","Disagree"
"Female",89,"26-100","In UK","Agree"
"Female",80,"101-200","In UK","Agree"
"Female",83,"26-100","In UK","Agree"
"Male",57,"11-25","In UK","Disagree"
"Female",76,"26-100","Not in UK","Agree"
"Male",52,"More than 200","In UK","Agree"
"Male",76,"101-200","In UK","Agree"
"Female",68,"More than 200","In UK","Agree"
"Male",83,"More than 200","In UK","Agree"
"Female",59,"11-25","In UK","Agree"
"Female",93,"101-200","In UK","Agree"
"Female",62,"101-200","In UK","Disagree"
"Male",96,"101-200","In UK","Agree"
"Male",62,"101-200","In UK","Agree"
"Female",79,"101-200","In UK","Agree"
"Male",80,"101-200","Not in UK","Disagree"
"Male",57,"101-200","In UK","Agree"
"Female",65,"26-100","In UK","Agree"
"Male",60,"101-200","In UK","Disagree"
"Female",79,"101-200","In UK","Disagree"
"Female",52,"11-25","In UK","Agree"
"Male",70,"26-100","In UK","Disagree"
"Male",96,"More than 200","In UK","Agree"
"Female",74,"26-100","In UK","Disagree"
"Female",88,"More than 200","In UK","Disagree"
"Female",83,"26-100","In UK","Agree"
"Female",50,"26-100","In UK","Disagree"
"Female",54,"11-25","In UK","Disagree"
"Female",92,"101-200","In UK","Agree"
"Female",78,"26-100","In UK","Disagree"
"Female",43,"26-100","In UK","Disagree"
"Female",44,"101-200","In UK","Disagree"
"Male",86,"More than 200","In UK","Agree"
"Male",69,"26-100","In UK","Disagree"
"Male",64,"More than 200","In UK","Agree"
"Female",48,"11-25","Not in UK","Disagree"
"Female",96,"More than 200","In UK","Agree"
"Female",22,"11-25","In UK","Disagree"
"Female",67,"101-200","In UK","Disagree"
"Male",25,"11-25","In UK","Agree"
"Male",81,"101-200","In UK","Agree"
"Female",57,"More than 200","In UK","Agree"
"Female",44,"101-200","In UK","Disagree"
"Female",48,"101-200","In UK","Disagree"
"Female",17,"101-200","In UK","Disagree"
"Male",36,"More than 200","In UK","Agree"
"Female",59,"101-200","In UK","Agree"
"Male",48,"101-200","Not in UK","Agree"
"Female",32,"More than 200","In UK","Disagree"
"Male",30,"101-200","In UK","Disagree"
"Male",74,"26-100","In UK","Disagree"
"Female",67,"101-200","In UK","Agree"
"Female",92,"26-100","In UK","Agree"
"Male",96,"26-100","Not in UK","Agree"
"Female",65,"101-200","In UK","Agree"
"Female",79,"More than 200","In UK","Disagree"
"Male",80,"26-100","In UK","Disagree"
"Male",52,"26-100","In UK","Agree"
"Female",70,"More than 200","In UK","Disagree"
"Female",80,"More than 200","In UK","Agree"
"Female",45,"26-100","In UK","Agree"
"Male",86,"26-100","In UK","Agree"
"Male",64,"More than 200","In UK","Agree"
"Male",22,"26-100","In UK","Agree"
"Male",44,"26-100","In UK","Disagree"
"Male",67,"26-100","In UK","Agree"
"Male",83,"More than 200","In UK","Agree"
"Male",38,"0-10","In UK","Agree"
"Female",81,"26-100","Not in UK","Agree"
"Female",64,"101-200","In UK","Agree"
"Male",64,"26-100","In UK","Disagree"
"Male",83,"11-25","In UK","Agree"
"Male",39,"11-25","In UK","Disagree"
"Female",80,"More than 200","Not in UK","Agree"
"Male",66,"More than 200","Not in UK","Disagree"
"Female",45,"More than 200","In UK","Disagree"
"Female",48,"101-200","In UK","Disagree"
"Male",70,"11-25","In UK","Agree"
"Male",96,"26-100","In UK","Agree"
"Male",96,"26-100","In UK","Agree"
"Male",75,"11-25","In UK","Agree"
"Male",75,"101-200","In UK","Agree"
"Male",27,"0-10","In UK","Agree"
"Male",86,"11-25","In UK","Agree"
"Male",20,"11-25","In UK","Agree"
"Female",48,"26-100","In UK","Disagree"
"Male",43,"11-25","In UK","Disagree"
"Male",42,"101-200","In UK","Agree"
"Female",61,"26-100","Not in UK","Agree"
"Female",80,"26-100","In UK","Agree"
"Female",83,"More than 200","In UK","Agree"
"Female",100,"101-200","In UK","Agree"
"Male",76,"26-100","In UK","Agree"
"Female",55,"101-200","In UK","Disagree"
"Female",76,"101-200","In UK","Agree"
"Male",80,"26-100","In UK","Agree"
"Female",43,"26-100","In UK","Disagree"
"Female",30,"11-25","In UK","Agree"
"Female",63,"11-25","In UK","Agree"
"Male",25,"11-25","In UK","Agree"
"Female",46,"26-100","In UK","Agree"
"Male",81,"26-100","In UK","Agree"
"Female",82,"26-100","In UK","Agree"
"Male",56,"11-25","In UK","Agree"
"Female",87,"26-100","In UK","Disagree"
"Male",70,"26-100","In UK","Disagree"
"Female",52,"26-100","In UK","Agree"
"Male",93,"26-100","In UK","Agree"
"Male",62,"11-25","In UK","Agree"
"Male",60,"26-100","In UK","Agree"
"Male",52,"11-25","In UK","Disagree"
"Male",78,"11-25","In UK","Agree"
"Male",89,"26-100","In UK","Agree"
"Female",38,"More than 200","In UK","Agree"
"Male",38,"26-100","In UK","Agree"
"Male",81,"26-100","In UK","Agree"
"Female",75,"101-200","In UK","Disagree"
"Female",76,"11-25","In UK","Agree"
"Male",35,"11-25","In UK","Agree"
"Male",78,"101-200","In UK","Agree"
"Male",88,"11-25","In UK","Agree"
"Female",45,"26-100","In UK","Disagree"
"Female",34,"101-200","In UK","Agree"
"Male",48,"11-25","In UK","Agree"
"Male",70,"26-100","In UK","Agree"
"Male",59,"11-25","In UK","Agree"
"Female",37,"0-10","In UK","Disagree"
"Male",46,"11-25","In UK","Agree"
"Female",71,"101-200","In UK","Agree"
"Male",65,"0-10","In UK","Agree"
"Male",82,"101-200","In UK","Agree"
"Male",92,"11-25","In UK","Agree"
"Male",52,"11-25","In UK","Agree"
"Female",48,"11-25","In UK","Agree"
"Female",56,"11-25","In UK","Agree"
"Male",59,"0-10","In UK","Agree"
"Female",52,"11-25","In UK","Agree"
"Male",60,"11-25","In UK","Agree"
"Male",50,"26-100","Not in UK","Agree"
"Female",84,"101-200","In UK","Agree"
"Male",57,"0-10","In UK","Agree"
"Female",83,"101-200","In UK","Disagree"
"Male",40,"101-200","In UK","Agree"
"Female",66,"26-100","In UK","Agree"
"Male",72,"26-100","In UK","Agree"
"Male",32,"More than 200","Not in UK","Disagree"
"Male",65,"101-200","In UK","Disagree"
"Female",89,"101-200","In UK","Agree"
"Male",63,"More than 200","In UK","Agree"
"Male",88,"101-200","In UK","Agree"
"Female",58,"101-200","Not in UK","Agree"
"Male",89,"26-100","In UK","Agree"
"Male",60,"26-100","In UK","Agree"
"Male",100,"101-200","In UK","Agree"
"Female",39,"26-100","In UK","Agree"
"Female",24,"11-25","In UK","Disagree"
"Female",36,"26-100","In UK","Disagree"
"Male",96,"26-100","In UK","Agree"
"Female",81,"101-200","In UK","Disagree"
"Male",48,"11-25","In UK","Disagree"
"Male",92,"11-25","In UK","Agree"
"Female",32,"26-100","In UK","Disagree"
"Male",62,"0-10","Not in UK","Disagree"
"Male",46,"More than 200","In UK","Agree"
"Male",36,"More than 200","Not in UK","Agree"
"Male",64,"11-25","In UK","Agree"
"Female",48,"101-200","In UK","Disagree"
"Female",17,"101-200","Not in UK","Agree"
"Male",32,"0-10","In UK","Agree"
"Female",24,"11-25","In UK","Agree"
"Female",21,"11-25","In UK","Agree"
"Female",24,"11-25","In UK","Agree"
"Female",44,"101-200","In UK","Agree"
"Male",22,"0-10","In UK","Disagree"
"Female",33,"11-25","In UK","Agree"
"Male",71,"101-200","In UK","Agree"
"Female",31,"0-10","In UK","Agree"
"Female",29,"11-25","In UK","Disagree"
"Female",52,"11-25","In UK","Disagree"
"Male",74,"101-200","In UK","Agree"
"Female",57,"101-200","In UK","Disagree"
"Female",36,"11-25","In UK","Disagree"
"Female",59,"11-25","In UK","Agree"
"Male",31,"11-25","In UK","Agree"
"Female",76,"More than 200","In UK","Disagree"
"Female",78,"101-200","In UK","Disagree"
"Female",19,"More than 200","In UK","Agree"
"Male",85,"26-100","Not in UK","Agree"
"Male",62,"26-100","In UK","Agree"
"Male",17,"0-10","In UK","Agree"
"Male",92,"26-100","In UK","Agree"
"Male",54,"0-10","Not in UK","Agree"
"Male",52,"26-100","In UK","Agree"
"Male",87,"26-100","In UK","Agree"
"Male",61,"101-200","In UK","Agree"
"Female",36,"0-10","Not in UK","Agree"
"Female",48,"11-25","In UK","Disagree"
"Female",55,"11-25","In UK","Agree"
"Male",64,"26-100","In UK","Agree"
"Female",78,"More than 200","In UK","Agree"
"Male",93,"11-25","In UK","Agree"
"Female",93,"More than 200","In UK","Agree"
"Female",50,"11-25","In UK","Agree"
"Female",71,"26-100","Not in UK","Agree"
"Female",36,"101-200","In UK","Disagree"
"Female",48,"More than 200","In UK","Agree"
"Male",41,"11-25","In UK","Agree"
"Female",48,"26-100","In UK","Agree"
"Male",30,"11-25","In UK","Agree"
"Male",44,"26-100","In UK","Disagree"
"Male",11,"11-25","In UK","Agree"
"Female",42,"26-100","In UK","Disagree"
"Male",17,"26-100","In UK","Disagree"
"Female",38,"0-10","Not in UK","Agree"
"Male",64,"11-25","In UK","Agree"
"Female",76,"26-100","In UK","Agree"
"Male",52,"11-25","In UK","Disagree"
"Female",35,"26-100","In UK","Agree"
"Male",56,"101-200","In UK","Agree"
"Male",31,"11-25","In UK","Agree"
"Male",45,"11-25","In UK","Agree"
"Male",48,"101-200","In UK","Agree"
"Male",39,"26-100","In UK","Agree"
"Female",52,"11-25","In UK","Agree"
"Male",59,"26-100","In UK","Agree"
"Female",38,"11-25","In UK","Agree"
"Male",46,"0-10","In UK","Agree"
"Male",58,"101-200","In UK","Agree"
"Male",64,"101-200","In UK","Agree"
"Female",60,"26-100","In UK","Agree"
"Female",65,"0-10","In UK","Agree"
"Male",22,"0-10","In UK","Agree"
"Female",24,"26-100","In UK","Agree"
"Female",45,"101-200","In UK","Agree"
"Female",67,"11-25","In UK","Agree"
"Female",68,"26-100","In UK","Agree"
"Male",76,"26-100","In UK","Agree"
"Female",57,"26-100","In UK","Disagree"
"Male",39,"26-100","In UK","Agree"
"Male",64,"More than 200","In UK","Agree"
"Male",52,"101-200","In UK","Agree"
"Male",76,"More than 200","In UK","Agree"
"Male",64,"101-200","In UK","Agree"
"Female",39,"101-200","In UK","Disagree"
"Female",19,"26-100","Not in UK","Disagree"
"Male",48,"11-25","In UK","Agree"
"Female",75,"101-200","In UK","Agree"
"Male",54,"More than 200","In UK","Agree"
"Male",62,"11-25","In UK","Disagree"
"Female",64,"0-10","Not in UK","Agree"
"Male",72,"101-200","In UK","Disagree"
"Female",22,"26-100","In UK","Disagree"
"Female",78,"101-200","In UK","Agree"
"Female",76,"11-25","In UK","Disagree"
"Male",55,"101-200","In UK","Disagree"
"Male",41,"26-100","In UK","Agree"
"Female",48,"0-10","In UK","Disagree"
"Male",45,"101-200","In UK","Disagree"
"Female",31,"101-200","Not in UK","Agree"
"Female",52,"0-10","In UK","Agree"
"Female",30,"101-200","In UK","Agree"
"Male",33,"More than 200","In UK","Agree"
"Male",30,"11-25","In UK","Agree"
"Female",46,"11-25","In UK","Disagree"
"Female",67,"11-25","In UK","Agree"
"Female",50,"11-25","In UK","Agree"
"Female",61,"26-100","In UK","Agree"
"Male",24,"11-25","In UK","Agree"
"Male",61,"0-10","In UK","Agree"
"Female",91,"101-200","In UK","Agree"
"Female",80,"26-100","In UK","Agree"
"Male",48,"26-100","In UK","Agree"
"Female",66,"26-100","In UK","Disagree"
"Male",28,"101-200","In UK","Disagree"
"Male",52,"0-10","In UK","Disagree"
"Female",37,"101-200","In UK","Agree"
"Male",89,"11-25","In UK","Agree"
"Male",88,"26-100","In UK","Agree"
"Female",75,"26-100","In UK","Agree"
"Female",35,"26-100","In UK","Agree"
"Male",50,"26-100","In UK","Agree"
"Female",52,"26-100","In UK","Agree"
"Male",48,"26-100","In UK","Agree"
"Male",74,"26-100","In UK","Agree"
"Male",40,"26-100","In UK","Agree"
"Male",52,"11-25","In UK","Agree"
"Female",45,"More than 200","Not in UK","Agree"
"Female",52,"26-100","In UK","Agree"
"Female",48,"26-100","In UK","Agree"
"Female",63,"11-25","Not in UK","Agree"
"Female",85,"11-25","Not in UK","Agree"
"Female",17,"11-25","In UK","Disagree"
"Female",42,"26-100","In UK","Agree"
"Male",57,"11-25","In UK","Agree"
"Male",17,"26-100","In UK","Disagree"
"Female",17,"11-25","Not in UK","Agree"
"Female",40,"0-10","In UK","Disagree"
"Female",41,"11-25","Not in UK","Agree"
"Female",45,"11-25","In UK","Agree"
"Female",44,"0-10","Not in UK","Agree"
"Male",52,"11-25","Not in UK","Disagree"
"Male",33,"0-10","In UK","Agree"
"Male",63,"0-10","In UK","Agree"
"Female",29,"26-100","In UK","Agree"
"Male",25,"More than 200","Not in UK","Agree"
"Female",19,"0-10","In UK","Agree"
"Female",54,"0-10","Not in UK","Disagree"
"Male",68,"26-100","Not in UK","Disagree"
"Male",74,"26-100","In UK","Agree"
"Male",43,"0-10","In UK","Agree"
"Male",44,"0-10","In UK","Agree"
"Male",79,"101-200","In UK","Agree"
"Female",56,"26-100","In UK","Disagree"
"Male",26,"26-100","Not in UK","Disagree"
"Female",59,"More than 200","In UK","Disagree"
"Female",100,"26-100","In UK","Agree"
"Female",62,"More than 200","In UK","Disagree"
"Female",58,"101-200","In UK","Disagree"
"Female",54,"26-100","In UK","Agree"
"Male",64,"101-200","In UK","Agree"
"Male",84,"More than 200","In UK","Agree"
"Female",57,"11-25","In UK","Disagree"
"Female",57,"26-100","In UK","Agree"
"Male",52,"101-200","In UK","Agree"
"Male",93,"More than 200","In UK","Agree"
"Male",79,"0-10","In UK","Agree"
"Female",84,"More than 200","In UK","Agree"
"Female",74,"26-100","In UK","Agree"
"Male",33,"11-25","Not in UK","Agree"
"Male",21,"26-100","In UK","Agree"
"Female",92,"26-100","Not in UK","Agree"
"Female",85,"26-100","In UK","Agree"
"Female",21,"11-25","In UK","Agree"
"Female",76,"101-200","In UK","Agree"
"Female",39,"26-100","In UK","Agree"
"Male",35,"26-100","In UK","Agree"
"Female",84,"More than 200","In UK","Agree"
"Female",45,"26-100","Not in UK","Disagree"
"Male",59,"26-100","In UK","Agree"
"Female",60,"101-200","In UK","Agree"
"Female",35,"26-100","In UK","Disagree"
"Male",59,"More than 200","In UK","Agree"
"Female",78,"26-100","In UK","Agree"
"Female",38,"11-25","In UK","Disagree"
"Female",77,"26-100","In UK","Agree"
"Female",57,"11-25","In UK","Disagree"
"Female",56,"26-100","In UK","Agree"
"Male",78,"26-100","In UK","Agree"
"Male",35,"11-25","Not in UK","Agree"
"Male",92,"More than 200","In UK","Agree"
"Male",86,"26-100","In UK","Agree"
"Male",41,"26-100","In UK","Disagree"
"Male",52,"11-25","Not in UK","Agree"
"Female",35,"26-100","In UK","Disagree"
"Female",59,"More than 200","In UK","Disagree"
"Female",38,"26-100","In UK","Agree"
"Female",50,"11-25","In UK","Agree"
"Male",19,"26-100","In UK","Disagree"
"Male",57,"26-100","In UK","Disagree"
"Female",83,"11-25","Not in UK","Disagree"
"Male",39,"11-25","Not in UK","Agree"
"Male",64,"101-200","In UK","Agree"
"Female",45,"More than 200","In UK","Agree"
"Female",72,"26-100","Not in UK","Agree"
"Female",28,"11-25","In UK","Disagree"
"Female",48,"101-200","In UK","Agree"
"Female",89,"101-200","In UK","Agree"
"Male",85,"101-200","In UK","Agree"
"Male",75,"More than 200","In UK","Agree"
"Male",75,"26-100","In UK","Agree"
"Female",72,"101-200","In UK","Disagree"
"Female",36,"11-25","In UK","Agree"
"Male",30,"0-10","In UK","Disagree"
"Male",70,"101-200","In UK","Agree"
"Male",26,"26-100","In UK","Disagree"
"Female",54,"26-100","In UK","Agree"
"Male",17,"11-25","In UK","Agree"
"Male",27,"0-10","In UK","Disagree"
"Female",46,"0-10","In UK","Agree"
"Male",24,"0-10","In UK","Disagree"
"Female",35,"26-100","In UK","Disagree"
"Male",30,"0-10","In UK","Disagree"
"Female",64,"11-25","In UK","Agree"
"Male",76,"11-25","In UK","Agree"
"Female",59,"101-200","In UK","Agree"
"Female",44,"26-100","In UK","Agree"
"Male",61,"26-100","In UK","Agree"
"Female",15,"0-10","Not in UK","Agree"
"Female",41,"0-10","In UK","Disagree"
"Female",12,"26-100","In UK","Disagree"
"Female",42,"26-100","In UK","Agree"
"Male",62,"26-100","In UK","Agree"
"Male",79,"More than 200","In UK","Agree"
"Female",80,"More than 200","In UK","Agree"
"Female",70,"26-100","In UK","Agree"
"Male",70,"26-100","In UK","Agree"
"Male",44,"26-100","In UK","Agree"
"Female",72,"101-200","In UK","Agree"
"Female",62,"11-25","In UK","Agree"
"Female",60,"11-25","In UK","Disagree"
"Male",96,"101-200","In UK","Agree"
"Male",96,"26-100","In UK","Agree"
"Female",59,"11-25","In UK","Agree"
"Female",58,"26-100","In UK","Agree"
"Male",42,"11-25","In UK","Agree"
"Male",88,"101-200","In UK","Agree"
"Female",44,"0-10","In UK","Agree"
"Female",87,"26-100","In UK","Agree"
"Male",78,"More than 200","In UK","Agree"
"Female",83,"0-10","In UK","Agree"
"Male",59,"0-10","In UK","Agree"
"Male",84,"11-25","In UK","Agree"
"Female",87,"More than 200","Not in UK","Agree"
"Male",74,"26-100","In UK","Agree"
"Male",81,"11-25","In UK","Agree"
"Male",38,"0-10","In UK","Agree"
"Female",62,"0-10","Not in UK","Disagree"
